"filename", "language", "JSON", "CSS", "HTML", "TypeScript", "JavaScript", "comment", "blank", "total"
"c:\Users\Administrador\Desktop\WowGoldLog\angular.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Administrador\Desktop\WowGoldLog\firebase.json", "JSON", 11, 0, 0, 0, 0, 10, 0, 21
"c:\Users\Administrador\Desktop\WowGoldLog\firestore.indexes.json", "JSON", 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Administrador\Desktop\WowGoldLog\package-lock.json", "JSON", 655, 0, 0, 0, 0, 0, 0, 655
"c:\Users\Administrador\Desktop\WowGoldLog\package.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\app.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\app.module.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 1, 31
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\ajustes\ajustes.component.ts", "TypeScript", 0, 0, 0, 34, 0, -1, 3, 36
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\historial-oro\historial-oro.component.css", "CSS", 0, 16, 0, 0, 0, 0, 6, 22
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\historial-oro\historial-oro.component.html", "HTML", 0, 0, 48, 0, 0, 0, 6, 54
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\historial-oro\historial-oro.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 6, 24
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\historial-oro\historial-oro.component.ts", "TypeScript", 0, 0, 0, 34, 0, 1, 10, 45
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\home\agregar-movimiento-form\agregar-movimiento-form.component.css", "CSS", 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\home\agregar-movimiento-form\agregar-movimiento-form.component.ts", "TypeScript", 0, 0, 0, 53, 0, 0, 2, 55
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\home\gold-table\gold-table.component.css", "CSS", 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\home\gold-table\gold-table.component.html", "HTML", 0, 0, 68, 0, 0, 5, 3, 76
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\home\gold-table\gold-table.component.ts", "TypeScript", 0, 0, 0, 63, 0, 0, 6, 69
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\home\home.component.html", "HTML", 0, 0, -2, 0, 0, 3, 0, 1
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\components\home\modal-pendiente\modal-pendiente.component.ts", "TypeScript", 0, 0, 0, 51, 0, 1, 7, 59
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\dist\app.module.js", "JavaScript", 0, 0, 0, 0, -97, 0, -1, -98
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\models\movimiento.model.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\models\statInventario.model.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 5
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\services\goldtable.service.ts", "TypeScript", 0, 0, 0, 22, 0, -4, 0, 18
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\services\login.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\services\movimiento.service.ts", "TypeScript", 0, 0, 0, 44, 0, 0, 5, 49
"c:\Users\Administrador\Desktop\WowGoldLog\src\app\services\reinos.service.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 8
"c:\Users\Administrador\Desktop\WowGoldLog\src\index.html", "HTML", 0, 0, 2, 0, 0, 0, 2, 4
"c:\Users\Administrador\Desktop\WowGoldLog\src\styles.css", "CSS", 0, 30, 0, 0, 0, 0, 8, 38
"Total", "-", 682, 53, 116, 367, -97, 15, 63, 1199